Date and time: ; 20-01-2025 19:12:15
MFC1:449.91sccm;MFC2:49.39sccm;t_huber:25.0; t_sht: 24.81; h_sht: 58.75;
psmethod: MultiCA_-1.4_0.12s_0.2V_0.12s_ch0_FRONTEND.txt; channel: F20-0; valve0: 2; valve1: 4; flow0: 0.45; flow1: 0.05; set_temp: 25; set_RH: 60; 
Time;Voltage; Current;
0.000000000; -1.799560547; -0.058300781; Current
0.000000000; -1.799560547; -2.712524414; CEPotential
0.002999000; -1.802490234; -0.031005859; Current
0.002999000; -1.802490234; -2.705932617; CEPotential
0.005998000; -1.802490234; -0.021997070; Current
0.005998000; -1.802490234; -2.704833984; CEPotential
0.008997000; -1.796630859; -0.018139648; Current
0.008997000; -1.796630859; -2.704833984; CEPotential
0.011996000; -1.789306641; -0.015942383; Current
0.011996000; -1.789306641; -2.705932617; CEPotential
0.014995000; -1.781250000; -0.014404297; Current
0.014995000; -1.781250000; -2.703735352; CEPotential
0.017994000; -1.774658203; -0.013232422; Current
0.017994000; -1.774658203; -2.703735352; CEPotential
0.020993000; -1.768798828; -0.012280273; Current
0.020993000; -1.768798828; -2.705932617; CEPotential
0.023992000; -1.761474609; -0.011523438; Current
0.023992000; -1.761474609; -2.704833984; CEPotential
0.026991000; -1.755615234; -0.010888672; Current
0.026991000; -1.755615234; -2.704833984; CEPotential
0.029990000; -1.751953125; -0.010375977; Current
0.029990000; -1.751953125; -2.703735352; CEPotential
0.032989000; -1.746093750; -0.009887695; Current
0.032989000; -1.746093750; -2.704833984; CEPotential
0.035988000; -1.740966797; -0.009497070; Current
0.035988000; -1.740966797; -2.704833984; CEPotential
0.038987000; -1.735839844; -0.009130859; Current
0.038987000; -1.735839844; -2.703735352; CEPotential
0.041986000; -1.730712891; -0.008740234; Current
0.041986000; -1.730712891; -2.704833984; CEPotential
0.044985000; -1.726318359; -0.008471680; Current
0.044985000; -1.726318359; -2.704833984; CEPotential
0.047984000; -1.721191406; -0.008154297; Current
0.047984000; -1.721191406; -2.703735352; CEPotential
0.050983000; -1.717529297; -0.007934570; Current
0.050983000; -1.717529297; -2.704833984; CEPotential
0.053982000; -1.712402344; -0.007641602; Current
0.053982000; -1.712402344; -2.703735352; CEPotential
0.056981000; -1.708740234; -0.007470703; Current
0.056981000; -1.708740234; -2.703735352; CEPotential
0.059980000; -1.705810547; -0.007275391; Current
0.059980000; -1.705810547; -2.704833984; CEPotential
0.062979000; -1.703613281; -0.007080078; Current
0.062979000; -1.703613281; -2.704833984; CEPotential
0.065978000; -1.699951172; -0.006909180; Current
0.065978000; -1.699951172; -2.704833984; CEPotential
0.068977000; -1.694824219; -0.006713867; Current
0.068977000; -1.694824219; -2.704833984; CEPotential
0.071976000; -1.691162109; -0.006640625; Current
0.071976000; -1.691162109; -2.703735352; CEPotential
0.074975000; -1.687500000; -0.006445313; Current
0.074975000; -1.687500000; -2.703735352; CEPotential
0.077974000; -1.684570313; -0.006323242; Current
0.077974000; -1.684570313; -2.703735352; CEPotential
0.080973000; -1.682373047; -0.006176758; Current
0.080973000; -1.682373047; -2.703735352; CEPotential
0.083972000; -1.680175781; -0.006079102; Current
0.083972000; -1.680175781; -2.704833984; CEPotential
0.086971000; -1.675781250; -0.005957031; Current
0.086971000; -1.675781250; -2.703735352; CEPotential
0.089970000; -1.672119141; -0.005859375; Current
0.089970000; -1.672119141; -2.703735352; CEPotential
0.092969000; -1.669921875; -0.005761719; Current
0.092969000; -1.669921875; -2.703735352; CEPotential
0.095968000; -1.666992188; -0.005688477; Current
0.095968000; -1.666992188; -2.704833984; CEPotential
0.098967000; -1.666992188; -0.005566406; Current
0.098967000; -1.666992188; -2.703735352; CEPotential
0.101966000; -1.664062500; -0.005517578; Current
0.101966000; -1.664062500; -2.704833984; CEPotential
0.104965000; -1.659667969; -0.005371094; Current
0.104965000; -1.659667969; -2.703735352; CEPotential
0.107964000; -1.658203125; -0.005322266; Current
0.107964000; -1.658203125; -2.703735352; CEPotential
0.110963000; -1.656005859; -0.005249023; Current
0.110963000; -1.656005859; -2.703735352; CEPotential
0.113962000; -1.653808594; -0.005175781; Current
0.113962000; -1.653808594; -2.705932617; CEPotential
0.116961000; -1.652343750; -0.005126953; Current
0.116961000; -1.652343750; -2.704833984; CEPotential
0.119960000; -0.470947266; 0.018359375; Current
